Riding,PC,NDP,Liberal,Green,Other,Total,PC_Share,NDP_Share,Liberal_Share,Green_Share,Other_Share,Swing_PC,Swing_NDP,Swing_Liberal,Swing_Green,Swing_Other,Predicted_PC_Share,Predicted_NDP_Share,Predicted_Liberal_Share,Predicted_Green_Share,Predicted_Other_Share,Total_Predicted,Predicted_Winner,Win_Probability,margin
Guelph,11149,4402,7263,29752,1619,54638,0.20405212489476188,0.08056663860316995,0.13292946301109118,0.5445294483692668,0.029631392071452104,0.010788665908711071,-0.03798613631339183,0.022563396848651426,0.10164968274716751,,0.20285351067280424,0.040204675952781134,0.14681696333894362,0.6101248500354711,,1.0590932840694278,Green,1.0,40.72713393626669
Haldimand—Norfolk,13851,6311,3329,1841,19827,45427,0.3049067735047439,0.13892618927069805,0.0732824091399388,0.040526559094811454,0.4364584938472714,0.050598807143180755,-0.07408402726802742,0.01387714293222576,-0.006332561758046818,,0.6562760433823374,0.11970095503398856,0.16089965696922706,0.06312334461444713,,0.5417012920595244,PC,1.0,49.537638641311034
Haliburton—Kawartha Lakes—Brock,25594,7692,6590,3695,4837,48926,0.5231165433511834,0.15721702162449414,0.1346932101541103,0.07552221722601479,0.09886358991129461,-0.024402462123312648,-0.02633067680730966,0.030996226713096382,0.01204921470582901,,0.5648838431816552,0.14825244416258637,0.18767323682081213,0.09919047583494646,,0.8828612948441056,PC,1.0,37.7210606360843
Hamilton Centre,4800,16690,3799,2554,1079,29147,0.16468247160942806,0.5726146773252822,0.13033931450921193,0.08762479843551652,0.037019247263869355,0.06564722098847944,-0.042459811356230004,0.029683650875981363,0.022981763694579778,,0.2233794453076017,0.5141573305272091,0.15519423848936603,0.10726898567582317,,1.0311140860822492,NDP,1.0,29.077788521960745
Hamilton East—Stoney Creek,12166,9614,7411,1740,4156,35166,0.34595916510265595,0.2733890689870898,0.21074333162713985,0.04947961098788602,0.11818233521014616,0.0211268959780803,-0.010822753920627634,0.04544707855555553,7.704273332081145e-05,,0.39243776013024173,0.28069967098988025,0.2738834333369921,0.0529791355428859,,0.9353994400511007,PC,0.995,11.17380891403615
Hamilton Mountain,10211,15250,5300,1913,1360,34034,0.30002350590585886,0.4480813304342716,0.15572662631486162,0.05620849738496797,0.03996003996003996,0.027372214924140895,-0.01650153102190162,0.02327974449308992,-0.006804611084568236,,0.3315783236299425,0.4370933927875205,0.18129324415452683,0.0500350394280101,,0.9873857773507211,NDP,0.991,10.551506915757802
Hamilton West—Ancaster—Dundas,14852,18197,8184,2416,1368,45017,0.3299198080725059,0.4042250705289113,0.18179798742697204,0.05366861407912566,0.03038851989248506,0.025479948389630386,-0.004162665998613868,0.020413318902389364,-0.0056566366080385904,,0.353390573864107,0.3978007304388194,0.20106814449423221,0.047740551202841555,,1.005685444792882,NDP,0.845,4.441015657471242
Hastings—Lennox and Addington,18156,7258,7102,1732,3936,38184,0.47548711502199875,0.19007961449821914,0.18599413366855228,0.045359312801173265,0.10307982401005657,0.007803040658766244,-0.038597575685345525,0.05107812434400226,0.005797950641184687,,0.5236069958809307,0.16411891353549482,0.25684920614575446,0.055424884437819934,,0.9230017159485512,PC,1.0,26.675778973517627
Humber River—Black Creek,6865,7959,7076,430,748,23078,0.29746945142560016,0.34487390588439204,0.3066123580899558,0.018632463818355142,0.032411820781696854,0.03151045263312559,0.0037506848891441513,-0.015027320547488893,-0.006607800425708091,,0.33527837803186405,0.35529917145245554,0.2971675693240737,0.01225488119160664,,0.9812141957673759,NDP,0.656,2.0020793420591487
Huron—Bruce,24369,7679,8775,1922,4070,46892,0.5196835281071398,0.16375927663567347,0.1871321334129489,0.04098780175722938,0.08679518894480935,-0.01986298838368405,-0.02576831294084822,0.046745198968114264,0.0033361099428291362,,0.5456480175498667,0.15064306045032982,0.25532104549802204,0.04838787650178134,,0.9160127474994028,PC,1.0,29.032697205184466
Kanata—Carleton,19871,11045,10672,2503,1478,45569,0.43606399087098685,0.2423796879457526,0.23419429875573305,0.054927692071364304,0.03243433035616318,0.013100074103690313,-0.05140553514919893,0.08020057445184292,-0.001990324015871396,,0.44583348419488017,0.18955806702224295,0.31206361475743505,0.052544834025441765,,1.0074704590342998,PC,0.999,13.376986943744512
Kenora—Rainy River,9567,3199,1823,608,764,16059,0.5957407061460863,0.1992029391618407,0.1135188990597173,0.03786038981256616,0.04757456877763248,-0.09255427702516125,-0.0367585736010652,0.028199883338297753,0.002072150739295066,,0.593882980237434,0.19172405764311326,0.16726280355610967,0.04713015856334297,,0.8472821176315769,PC,1.0,40.215892259432074
Kiiwetinoong,1426,2742,281,158,156,4763,0.2993911400377913,0.5756875918538736,0.05899643082091119,0.03317237035481839,0.0327524669326055,0.2041315122247843,-0.13030793640572697,-0.002601519394969474,-0.012725711823313897,,0.49088535961553836,0.4342016220078561,0.05497952525356009,0.019933493123045532,,1.0257438776681684,PC,0.898,5.668373760768225
King—Vaughan,23439,2840,11658,1104,1709,40897,0.5731227229381128,0.06944274641171724,0.28505758368584494,0.026994645083991492,0.041787906203389,-0.09014139585025405,-0.040269668629032335,0.08607958132557651,-0.007858384250812821,,0.535202163152606,0.03232732501120474,0.41126520302161745,0.021205308814571715,,0.9024278307151439,PC,1.0,12.39369601309886
Kingston and the Islands,11973,15186,18360,1601,1386,48749,0.2456050380520626,0.31151408234015054,0.3766231102176455,0.03284169931690906,0.028431352437998728,0.016283872452506273,0.01849265087680218,-0.02001724243487281,-0.001879928427710396,,0.2673800184368286,0.33692608916438654,0.36408293622946514,0.03161095616931965,,0.979463282393493,Liberal,0.744,2.7156847065078593
Kitchener Centre,10376,15789,5728,4980,2029,38902,0.2667215053210632,0.4058660223124775,0.14724178705465016,0.1280139838568711,0.05215670145493805,0.03559115164786821,-0.02994232719026109,0.02961493630380395,0.015425333484305541,,0.3027569853032045,0.37647621432846523,0.17711666104708,0.14365013932125018,,0.9985323927907787,NDP,0.956,7.371922902526073
